tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2020-03-11,43,23,---,108,15,108,4,O3,TIDAK SEHAT
2020-03-12,---,---,---,---,---,0,,,TIDAK ADA DATA
2020-03-13,53,22,---,110,73,110,4,O3,TIDAK SEHAT
2020-03-14,89,25,28,197,13,197,4,O3,TIDAK SEHAT
2020-03-15,69,22,21,131,10,131,4,O3,TIDAK SEHAT
2020-03-16,59,23,18,133,10,133,4,O3,TIDAK SEHAT
2020-03-17,101,23,16,129,10,129,4,O3,TIDAK SEHAT
2020-03-18,57,23,13,108,10,108,4,O3,TIDAK SEHAT
2020-03-19,73,22,27,37,9,73,1,PM10,SEDANG
2020-03-20,54,20,---,66,7,66,4,O3,SEDANG
2020-03-21,56,6,23,40,7,56,1,PM10,SEDANG
2020-03-22,45,5,---,50,1,50,4,O3,BAIK
2020-03-23,54,7,---,100,1,100,4,O3,SEDANG
2020-03-24,78,6,15,63,2,78,1,PM10,SEDANG
2020-03-25,56,23,---,82,---,82,4,O3,SEDANG
2020-03-26,54,25,---,58,5,58,4,O3,SEDANG
2020-03-27,65,25,---,70,5,70,4,O3,SEDANG
2020-03-28,74,26,19,104,11,104,4,O3,TIDAK SEHAT
2020-03-29,78,25,22,86,10,86,4,O3,SEDANG
2020-03-30,62,25,12,66,12,66,4,O3,SEDANG
2020-03-31,---,---,---,---,---,0,,,TIDAK ADA DATA
2020-03-01,22,---,35,213,11,213,4,O3,SANGAT TIDAK SEHAT
2020-03-02,22,---,---,201,15,201,4,O3,SANGAT TIDAK SEHAT
2020-03-03,54,---,39,152,13,152,4,O3,TIDAK SEHAT
2020-03-04,59,---,32,206,5,206,4,O3,SANGAT TIDAK SEHAT
2020-03-05,24,17,52,95,3,95,4,O3,SEDANG
2020-03-06,34,27,40,54,7,54,4,O3,SEDANG
2020-03-07,30,24,40,58,5,58,4,O3,SEDANG
2020-03-08,52,22,38,59,7,59,4,O3,SEDANG
2020-03-09,32,21,39,43,4,43,4,O3,BAIK
2020-03-10,25,20,36,41,4,41,4,O3,BAIK
2020-03-11,34,20,46,63,4,63,4,O3,SEDANG
2020-03-12,44,19,58,72,10,72,4,O3,SEDANG
2020-03-13,32,19,51,69,6,69,4,O3,SEDANG
2020-03-14,66,22,59,179,8,179,4,O3,TIDAK SEHAT
2020-03-15,53,18,63,92,8,92,4,O3,SEDANG
2020-03-16,48,19,62,70,9,70,4,O3,SEDANG
2020-03-17,40,18,38,101,9,101,4,O3,TIDAK SEHAT
2020-03-18,45,18,35,90,6,90,4,O3,SEDANG
2020-03-19,69,---,33,99,7,99,4,O3,SEDANG
2020-03-20,51,---,11,83,8,83,4,O3,SEDANG
2020-03-21,42,---,15,84,6,84,4,O3,SEDANG
2020-03-22,27,---,5,71,7,71,4,O3,SEDANG
2020-03-23,52,---,14,105,7,105,4,O3,TIDAK SEHAT
2020-03-24,70,---,25,93,11,93,4,O3,SEDANG
2020-03-25,34,---,6,99,5,99,4,O3,SEDANG
2020-03-26,44,---,9,67,5,67,4,O3,SEDANG
2020-03-27,40,---,6,117,5,117,4,O3,TIDAK SEHAT
2020-03-28,58,11,12,124,6,124,4,O3,TIDAK SEHAT
2020-03-29,65,14,11,91,7,91,4,O3,SEDANG
2020-03-30,53,9,10,76,5,76,4,O3,SEDANG
2020-03-31,47,11,14,96,6,96,4,O3,SEDANG
